GSS_Code,Borough_Name,Year,The_number_of_crime,Population_density,Employment,Education,Income_level,Homelessness
E09000031,Waltham Forest,2012,24300,6782.7,76,41.3,26200,72
E09000033,Westminster,2012,63404,10418.3,684,61.5,92200,2440
E09000007,Camden,2011,35889,10100.7,324,55.2,69300,398
E09000012,Hackney,2011,27500,12996.9,109,47.6,31200,81
E09000014,Haringey,2011,25214,8663.9,73,50.4,34600,43
E09000019,Islington,2011,27267,13908.9,196,58.7,47200,171
E09000022,Lambeth,2011,36732,11369.2,146,59,35700,309
E09000025,Newham,2011,31402,8616.7,88,39.2,22000,79
E09000028,Southwark,2011,34769,10025.7,236,53.4,36500,417
E09000030,Tower Hamlets,2011,29138,12976.2,248,46.2,38200,262
E09000031,Waltham Forest,2011,25482,6709.9,70,38.4,25300,46
E09000033,Westminster,2011,65854,10219.3,660,60.1,88200,2554
E09000007,Camden,2010,25107,9854.6,310,55.3,67100,752
E09000012,Hackney,2010,21032,12690.4,103,42.4,29500,65
E09000014,Haringey,2010,18559,8539,72,42.4,32900,59
E09000019,Islington,2010,20834,13470.7,200,56.1,47600,308
E09000022,Lambeth,2010,26725,11102.2,149,53.9,34200,709
E09000025,Newham,2010,26040,8264.8,81,27.9,21700,38
E09000028,Southwark,2010,27697,9832.2,225,49,35400,812
E09000030,Tower Hamlets,2010,21509,12563.4,225,39.7,37400,542
E09000031,Waltham Forest,2010,20732,6545.3,67,31.4,24400,27
E09000033,Westminster,2010,47509,10107.8,654,55.9,83400,4017
