,Total CO2/ CO2e emissions (kt),Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grand Total
,,Domestic (CO2e),,,,,,Industrial and Commercial (CO2e),,,,,,,Transport (CO2e or CO2),,,,,,,NRMM (CO2e),,,,IPPU (CO2e),AFOLU (CO2e),Waste (CO2e),Fugitive emissions (CO2e),
,,Electricity,Gas,Coal,Oil,Bioenergy and waste*,Total,Electricity,Electricity w/o rail & RT,Gas,Coal,Oil,Bioenergy and waste*,Total,Aviation,Shipping,Railways diesel,Railways electric,Road transport - fossil fuels,Road transport - electric,Total,Manufacturing industries , Construction,Ground activities - aviation,Total,,,,,
E09000024,Merton,68 ,204 ,1 ,1 ,0 ,274 ,91 ,78 ,54 ,0 ,10 ,0 ,143 ,0 ,0 ,1 ,13 ,114 ,0 ,128 ,0 ,9 ,0 ,10 ,,,,,553.8654921
E09000025,Newham,84 ,208 ,1 ,0 ,1 ,293 ,182 ,160 ,168 ,0 ,29 ,0 ,357 ,8 ,5 ,2 ,21 ,152 ,0 ,188 ,1 ,11 ,1 ,12 ,,,,,849.710823
E09000026,Redbridge,86 ,276 ,1 ,1 ,0 ,365 ,46 ,37 ,45 ,0 ,21 ,0 ,103 ,0 ,0 ,1 ,9 ,205 ,0 ,215 ,0 ,6 ,0 ,7 ,,,,,689.1270752
E09000027,Richmond,74 ,224 ,0 ,2 ,0 ,301 ,55 ,48 ,51 ,0 ,9 ,0 ,108 ,18 ,0 ,0 ,7 ,115 ,0 ,141 ,0 ,7 ,0 ,7 ,,,,,556.1339983
E09000028,Southwark,97 ,197 ,0 ,2 ,0 ,296 ,161 ,139 ,175 ,0 ,10 ,0 ,324 ,0 ,5 ,1 ,22 ,117 ,0 ,145 ,0 ,16 ,0 ,17 ,,,,,781.6766582
E09000029,Sutton,70 ,196 ,0 ,1 ,0 ,268 ,68 ,64 ,55 ,0 ,13 ,0 ,132 ,0 ,0 ,0 ,4 ,91 ,0 ,95 ,0 ,6 ,0 ,6 ,,,,,500.9844909
E09000030,Tower Hamlets,94 ,132 ,0 ,1 ,0 ,227 ,426 ,408 ,147 ,0 ,24 ,5 ,584 ,2 ,11 ,0 ,17 ,132 ,1 ,163 ,1 ,22 ,0 ,22 ,,,,,997.0523948
E09000031,Waltham Forest,74 ,228 ,1 ,1 ,0 ,304 ,59 ,53 ,51 ,0 ,13 ,0 ,116 ,0 ,0 ,1 ,6 ,138 ,0 ,145 ,1 ,7 ,0 ,8 ,,,,,573.7008042
E09000032,Wandsworth,109 ,288 ,0 ,1 ,0 ,399 ,89 ,60 ,122 ,0 ,12 ,0 ,195 ,3 ,0 ,2 ,28 ,136 ,0 ,170 ,0 ,24 ,0 ,25 ,,,,,788.4532413
E09000033,Westminster,100 ,178 ,0 ,3 ,0 ,282 ,491 ,466 ,404 ,0 ,66 ,0 ,936 ,0 ,5 ,2 ,24 ,168 ,1 ,199 ,1 ,45 ,0 ,47 ,,,,,1464.420874
,Unapportioned,,,,,,,,0,9.297236621,,,,9.297236621,,,,0,,,0,,,,,1684.608751,119.1560099,483.3502083,193.3356438,2489.74785
,Grand Total (kt),2767.966551,7637.265158,25.83066335,49.22082088,14.35866433,10494.64186,4449.363031,3969.176457,3628.925087,5.114689498,732.9282104,21.38017643,8357.524621,398.6000994,42.91083506,82.38142834,465.7821525,5341.919781,14.4044208,6345.998717,16.20897313,424.1261125,15.13115855,455.4662442,1684.608751,119.1560099,483.3502083,193.3356438,28134.08205
,Grand Total (mt),2.767966551,7.637265158,0.025830663,0.049220821,0.014358664,10.49464186,4.449363031,3.969176457,3.628925087,0.005114689,0.73292821,0.021380176,8.357524621,0.398600099,0.042910835,0.082381428,0.465782153,5.341919781,0.014404421,6.345998717,0.016208973,0.424126113,0.015131159,0.455466244,1.684608751,0.11915601,0.483350208,0.193335644,28.13408205
